Fund,Alpha,Beta
Fund_1,0.0004072401500113329,1.1640405028497818
Fund_2,0.0022313510028960587,1.1828097056541576
Fund_3,-0.026387741801964612,0.6569012565758702
Fund_4,-0.01897254652220308,0.7393281624167293
Fund_5,0.03956049247392172,1.0403450656453939
Fund_6,-0.053764962578486376,0.7680114451366399
Fund_7,-0.020589740100207,0.821173719190502
Fund_8,0.10204628626035173,0.8964265043081789
Fund_9,0.14905476921910854,0.6920723198233123
Fund_10,0.04925499415500992,0.6438214209369234
Fund_11,0.1849949316617082,1.074036731990491
Fund_12,0.11770103399270977,0.7592465902607298
Fund_13,0.08179392471605595,0.7063773145259675
Fund_14,-0.06460924786193506,1.2069837441713003
Fund_15,0.03894661136764614,0.6127025544324388
Fund_16,0.0005320745050387656,0.7125789041654942
Fund_17,0.10198551570520675,0.9239215585834858
Fund_18,0.17058424805942182,0.938934664229275
Fund_19,-0.018514369169539933,0.7709535641795567
Fund_20,-0.045005183335225754,1.0230246264876597
Fund_21,0.11454530190640787,1.2821359653690172
Fund_22,0.10464761204533153,0.9362618328366541
Fund_23,0.0755434102670812,0.5935988562727773
Fund_24,0.0871738211697625,0.951440059541386
Fund_25,0.004024368696513364,1.1750568474330225
Fund_26,0.016516062748989153,0.7320490708871786
Fund_27,0.04656672457672201,0.8109340946088265
Fund_28,0.030234393861447592,1.0488541987739881
Fund_29,0.1563685930050067,1.0635964307780186
Fund_30,0.16951872019848918,0.8984941298277059
Fund_31,0.1424125708377608,1.0359966190475915
Fund_32,0.1414316894217066,1.2180757585081878
Fund_33,0.10454969988402707,1.3992957197991502
Fund_34,0.023118487401465958,0.8997132953243001
Fund_35,-0.23083963692904125,1.2733709323939026
Fund_36,0.20725096866410728,0.9089748698141314
Fund_37,0.02644859143641433,1.1739937260726347
Fund_38,0.0852034151421704,0.961179890663272
Fund_39,0.053623041630025486,1.1152681780903426
Fund_40,0.14936666434267057,0.888612886907739
