Fund,CAGR_1Yr,CAGR_3Yr,CAGR_5Yr,Sharpe_Ratio,Sortino_Ratio,Alpha,Beta,Max_Drawdown,Expense_Ratio,Score
Fund_29,0.6692952020201495,0.7618402071768127,0.45394808020805977,1.309335843544195,2.2713915404068414,0.1563685930050067,1.0635964307780186,-0.18882349299160062,0.01004990406895754,87.25
Fund_11,0.7234793242551041,0.7156750997239689,0.5045315641855161,1.4842974694531685,2.5657288266445692,0.1849949316617082,1.074036731990491,-0.18220627543104062,0.01599775386541665,84.625
Fund_18,0.6496799392511985,0.7292167853761895,0.4474089987181955,1.492625193498393,2.591151994837329,0.17058424805942182,0.938934664229275,-0.19756413693601937,0.018769540176498074,82.375
Fund_32,0.6152978258390269,0.7106908603190429,0.4862010563258108,1.4278600224346711,2.408453980116459,0.1414316894217066,1.2180757585081878,-0.2536132126697669,0.01198742824768214,78.625
Fund_36,0.5305110445852601,0.6429955124192166,0.4754054806052428,1.327133719535446,2.4068211555794163,0.20725096866410728,0.9089748698141314,-0.23241726421047026,0.012642289909529843,78.5
Fund_31,0.6099946705262289,0.6536679934020395,0.43191514158877364,1.3491661134142725,2.370913710967818,0.1424125708377608,1.0359966190475915,-0.2264463147253859,0.012175794796781578,77.75
Fund_21,0.4692212747762432,0.5642316465148849,0.46271866352394864,1.3145783687574866,2.309830784575883,0.11454530190640787,1.2821359653690172,-0.26517814506686,0.007505304989856041,73.375
Fund_30,0.7965024999718262,0.629290346288863,0.4199243703407669,1.2280309729718477,2.284238874910584,0.16951872019848918,0.8984941298277059,-0.24925654511112671,0.012597865296013915,73.125
Fund_33,0.5379076217789616,0.7333394171413803,0.48710356965485135,1.375582352571359,2.4598091582176607,0.10454969988402707,1.3992957197991502,-0.2868552975237796,0.01567401589473024,72.875
Fund_12,0.4391761041719102,0.3827593565487315,0.3294480106163147,1.4606964328131211,2.5380514726570045,0.11770103399270977,0.7592465902607298,-0.11858409880001208,0.011972545238106876,71.375
Fund_24,0.17460836178528294,0.3756926158390723,0.33063015927370043,1.0920264924825194,1.905938037103686,0.0871738211697625,0.951440059541386,-0.15271124761593202,0.00560281176652066,65.0
Fund_8,0.4708924906023564,0.4491871855896403,0.33686066193746256,1.1526550102824749,2.008193108633622,0.10204628626035173,0.8964265043081789,-0.24450855959069506,0.009617181700866761,63.75
